block_id,assignment
500070002003000,4
500070010003017,3
500070010003018,6
500070009001006,6
500070041002010,8
500070009001003,6
500070009001005,6
500070009001004,6
500070009001008,6
500070008001001,5
500070009002001,6
500070008001003,5
500070008001004,5
500070008001005,5
500070010001001,5
500070008001007,5
500070041002009,8
500070041002007,8
500070003004006,2
500070009001009,6
500070003005015,2
500070003004002,2
500070003004001,2
500070003005014,2
500070003003008,7
500070006003007,1
500070006003008,1
500070042002005,3
500070006003006,1
500070010002000,3
500070010002008,3
500070010003019,6
500070008002009,6
500070003004005,2
500070042001008,2
500070042001001,2
500070042001004,2
500070042001005,2
500070041002003,8
500070003003002,7
500070042001000,2
500070003004000,2
500070042001006,2
500070042001007,2
500070006003013,1
500070041002002,8
500070041001000,1
500070041002005,8
500070003004004,2
500070001003001,7
500070041002000,8
500070006003012,1
500070003003006,2
500070010002006,3
500070003003009,7
500070039003004,8
500070006001007,1
500070010003015,3
500070010002013,3
500070010003001,3
500070010003000,3
500070010001000,5
500070002005003,4
500070002004003,7
500070002002000,4
500070002004004,4
500070003005005,2
500070006001005,1
500070003005020,2
500070039001015,6
500070006001001,1
500070003005017,2
500070003005008,2
500070039001010,6
500070003001001,3
500070003005018,2
500070003005016,2
500070003001003,3
500070039004003,8
500070039002002,6
500070003005009,2
500070002001002,7
500070003005011,2
500070003001008,2
500070039004007,8
500070002004006,3
500070006001008,1
500070042001003,2
500070002003013,3
500070003005010,2
500070003005002,2
500070003005013,2
500070039004002,8
500070002004005,7
500070006003014,1
500070041001002,8
500070039001009,6
500070039003000,1
500070009001000,6
500070039001013,6
500070001003013,7
500070009002003,6
500070039003002,1
500070006003001,1
500070010001009,5
500070010002003,3
500070011001025,5
500070009001012,6
500070039001003,6
500070009001011,6
500070009001010,6
500070039001008,6
500070039001005,6
500070039001002,6
500070039001014,8
500070006002005,1
500070002002007,4
500070010002015,3
500070001003012,7
500070008001002,5
500070009001001,6
500070042002004,2
500070002004000,7
500070001003007,7
500070009002006,6
500070041002004,8
500070001002008,7
500070002005002,4
500070003005006,2
500070009001002,6
500070001002004,7
500070009002002,6
500070008001009,5
500070003001006,3
500070041002001,8
500070003005003,2
500070003005019,2
500070039004006,6
500070041001001,8
500070008002007,6
500070008002001,6
500070008002000,6
500070042002003,2
500070039001011,6
500070003004003,2
500070042001002,2
500070041002008,8
500070039004008,8
500070006003009,1
500070042002000,2
500070006003000,1
500070010003020,5
500070006003005,1
500070041002006,8
500070002003003,4
500070039001019,6
500070003001007,2
500070010002009,3
500070010003016,3
500070003005007,2
500070003005012,2
500070006001006,1
500070009002000,6
500070039001007,6
500070003002001,3
500070008001014,5
500070001001002,7
500070039004000,8
500070011001019,5
500070003002005,3
500070039004005,6
500070003002016,3
500070001001010,7
500070039003001,1
500070010003014,3
500070042003000,3
500070042002006,3
500070010002012,3
500070011001024,5
500070010003002,3
500070011001018,5
500070042002007,3
500070010003021,5
500070042002009,3
500070010002001,3
500070008001000,5
500070010003004,3
500070011001016,5
500070010001003,5
500070011002005,5
500070010003013,3
500070002003002,4
500070011001001,5
500070010001007,5
500070010003012,5
500070010003003,3
500070010001008,5
500070001003008,7
500070011001004,5
500070002005005,4
500070011001006,5
500070001002011,7
500070011001014,5
500070011001003,5
500070001002001,7
500070002005010,4
500070011001007,5
500070011001002,5
500070002005001,4
500070002005011,4
500070011001008,5
500070011001017,5
500070002005006,4
500070011001013,5
500070001002009,7
500070003002002,3
500070002005007,4
500070003002011,3
500070001001016,7
500070001001007,7
500070003005000,1
500070003002010,3
500070002005009,4
500070003002012,3
500070001001011,7
500070003002009,3
500070002005016,4
500070003002017,3
500070001001015,7
500070003002014,3
500070002005015,4
500070002005012,4
500070042003002,3
500070010003005,3
500070002003008,4
500070010003011,5
500070001002012,7
500070001001003,7
500070003001002,3
500070001001001,7
500070002003009,4
500070003001004,3
500070001001004,7
500070042003001,3
500070003002015,3
500070002005000,4
500070042002002,3
500070002004002,7
500070010002002,3
500070003002004,3
500070001002007,7
500070042003004,3
500070003002013,3
500070010002007,3
500070002005004,4
500070042002008,3
500070042002001,3
500070003001005,3
500070002001003,7
500070002003001,4
500070001001006,7
500070001003006,7
500070001001014,7
500070001003015,7
500070001001013,7
500070011002004,5
500070002002004,4
500070001003009,7
500070002005008,4
500070006002004,1
500070011001022,5
500070001003014,7
500070011001023,5
500070002005013,4
500070001003004,7
500070001002002,7
500070002003005,4
500070002001007,4
500070002001008,4
500070001001008,7
500070002005017,4
500070001002005,7
500070011001015,5
500070001002003,7
500070002001006,4
500070002002008,4
500070002003007,4
500070001002006,7
500070001003010,7
500070002005014,4
500070002002003,4
500070039003003,1
500070002002005,4
500070003002006,3
500070006003016,1
500070003002008,3
500070002002006,4
500070010001005,5
500070008001006,5
500070039001000,8
500070039001004,6
500070002001004,7
500070006002006,1
500070006002002,1
500070010001002,5
500070011002003,5
500070009001007,6
500070006003015,1
500070002002001,4
500070001001017,7
500070003001000,3
500070001003011,7
500070001003003,7
500070008002004,6
500070002004001,7
500070011002007,5
500070010002004,3
500070002003004,4
500070008001015,5
500070010002005,3
500070001001009,7
500070003002003,3
500070003002007,3
500070011002001,5
500070011001026,5
500070008002008,6
500070006001011,1
500070042003003,3
500070001003005,7
500070003002000,3
500070010003006,3
500070002003011,4
500070001002010,7
500070010003007,3
500070039002001,6
500070011002000,5
500070003005001,2
500070001002000,7
500070006001009,1
500070003005004,2
500070006002000,1
500070003003007,2
500070039001001,8
500070006001010,1
500070002003006,4
500070006001003,1
500070010001010,5
500070001001012,7
500070002002002,4
500070006003011,1
500070001001005,7
500070006001002,1
500070039005000,1
500070009002004,6
500070010002014,3
500070006002007,1
500070006003002,1
500070039001016,6
500070009002005,6
500070002001001,7
500070006003004,1
500070039001012,6
500070006003010,1
500070009002007,6
500070039001018,6
500070008001010,5
500070039001017,6
500070006003003,1
500070008002005,6
500070039003005,8
500070039002000,6
500070008001008,5
500070039001006,6
500070039003006,1
500070008002003,6
500070008001012,5
500070008002002,6
500070008002006,6
500070008001011,5
500070011001012,5
500070011001011,5
500070008001013,5
500070011001020,5
500070011001000,5
500070011001005,5
500070011001010,5
500070039004004,6
500070001001000,7
500070006001004,1
500070011001009,5
500070039004001,8
500070010001006,5
500070011001021,5
500070010002010,3
500070011002002,5
500070002001005,4
