GEO_ID,H003001,H003002,H003003
1000000US500019601001000,52,47,5
1000000US500019601001001,0,0,0
1000000US500019601001002,53,40,13
1000000US500019601001003,0,0,0
1000000US500019601001004,3,0,3
1000000US500019601001005,2,2,0
1000000US500019601001006,33,19,14
1000000US500019601001007,0,0,0
1000000US500019601001008,0,0,0
1000000US500019601001009,27,22,5
1000000US500019601001010,0,0,0
1000000US500019601001011,1,1,0
1000000US500019601001012,2,2,0
1000000US500019601001013,92,70,22
1000000US500019601001014,1,1,0
1000000US500019601001015,1,0,1
1000000US500019601001016,0,0,0
1000000US500019601001017,1,1,0
1000000US500019601001018,2,0,2
1000000US500019601001019,4,3,1
1000000US500019601001020,1,0,1
1000000US500019601001021,3,3,0
1000000US500019601001022,1,1,0
1000000US500019601001023,0,0,0
1000000US500019601001024,1,0,1
1000000US500019601001025,42,31,11
1000000US500019601001026,0,0,0
1000000US500019601001027,4,3,1
1000000US500019601001028,1,1,0
1000000US500019601001029,1,1,0
1000000US500019601001030,11,10,1
1000000US500019601001031,0,0,0
1000000US500019601001032,53,49,4
1000000US500019601001033,4,4,0
1000000US500019601001034,1,0,1
1000000US500019601001035,1,1,0
1000000US500019601001036,0,0,0
1000000US500019601001037,1,1,0
1000000US500019601001038,2,2,0
1000000US500019601001039,16,15,1
1000000US500019601001040,22,20,2
1000000US500019601001041,9,7,2
1000000US500019601001042,2,1,1
1000000US500019601001043,2,2,0
1000000US500019601001044,0,0,0
1000000US500019601001045,14,10,4
1000000US500019601001046,12,11,1
1000000US500019601001047,13,13,0
1000000US500019601001048,4,4,0
1000000US500019601001049,0,0,0
1000000US500019601001050,0,0,0
1000000US500019601001051,4,4,0
1000000US500019601001052,5,4,1
1000000US500019601002000,7,6,1
1000000US500019601002001,0,0,0
1000000US500019601002002,9,9,0
1000000US500019601002003,8,8,0
1000000US500019601002004,10,10,0
1000000US500019601002005,0,0,0
1000000US500019601002006,13,13,0
1000000US500019601002007,84,71,13
1000000US500019601002008,14,14,0
1000000US500019601002009,1,1,0
1000000US500019601002010,26,23,3
1000000US500019601002011,1,1,0
1000000US500019601002012,6,5,1
1000000US500019601002013,32,28,4
1000000US500019601002014,0,0,0
1000000US500019601002015,0,0,0
1000000US500019601002016,1,1,0
1000000US500019601002017,0,0,0
1000000US500019601002018,0,0,0
1000000US500019601002019,1,0,1
1000000US500019601002020,16,13,3
1000000US500019601002021,6,6,0
1000000US500019601002022,0,0,0
1000000US500019601002023,17,16,1
1000000US500019601002024,10,9,1
1000000US500019601002025,0,0,0
1000000US500019601002026,0,0,0
1000000US500019601002027,12,12,0
1000000US500019601002028,0,0,0
1000000US500019601002029,7,6,1
1000000US500019601002030,2,2,0
1000000US500019601002031,5,5,0
1000000US500019601002032,8,7,1
1000000US500019601002033,7,7,0
1000000US500019601002034,7,7,0
1000000US500019601002035,2,2,0
1000000US500019601002036,10,10,0
1000000US500019601003000,1,0,1
1000000US500019601003001,4,4,0
1000000US500019601003002,0,0,0
1000000US500019601003003,19,18,1
1000000US500019601003004,0,0,0
1000000US500019601003005,15,15,0
1000000US500019601003006,5,4,1
1000000US500019601003007,24,23,1
1000000US500019601003008,13,13,0
1000000US500019601003009,0,0,0
1000000US500019601003010,16,16,0
1000000US500019601003011,2,2,0
1000000US500019601003012,7,5,2
1000000US500019601003013,1,1,0
1000000US500019601003014,11,11,0
1000000US500019601003015,0,0,0
1000000US500019601003016,59,33,26
1000000US500019601003017,0,0,0
1000000US500019601003018,0,0,0
1000000US500019601003019,0,0,0
1000000US500019601003020,0,0,0
1000000US500019601003021,0,0,0
1000000US500019601003022,13,10,3
1000000US500019601003023,22,21,1
1000000US500019601003024,0,0,0
1000000US500019601003025,0,0,0
1000000US500019601003026,4,3,1
1000000US500019601003027,95,92,3
1000000US500019601003028,47,47,0
1000000US500019601003029,0,0,0
1000000US500019601003030,0,0,0
1000000US500019601003031,0,0,0
1000000US500019601003032,0,0,0
1000000US500019601003033,7,7,0
1000000US500019601003034,0,0,0
1000000US500019601003035,0,0,0
1000000US500019601003036,27,27,0
1000000US500019601003037,0,0,0
1000000US500019601003038,0,0,0
1000000US500019601003039,0,0,0
1000000US500019601003040,0,0,0
