GEO_ID,P001001,P001003,P001004,P001005,P001006,P001007,P001008,P001009
1000000US500019601001000,134,131,0,0,0,0,0,3
1000000US500019601001001,0,0,0,0,0,0,0,0
1000000US500019601001002,102,100,0,0,0,0,0,2
1000000US500019601001003,0,0,0,0,0,0,0,0
1000000US500019601001004,0,0,0,0,0,0,0,0
1000000US500019601001005,10,10,0,0,0,0,0,0
1000000US500019601001006,57,56,0,0,0,0,0,1
1000000US500019601001007,0,0,0,0,0,0,0,0
1000000US500019601001008,0,0,0,0,0,0,0,0
1000000US500019601001009,45,45,0,0,0,0,0,0
1000000US500019601001010,0,0,0,0,0,0,0,0
1000000US500019601001011,2,2,0,0,0,0,0,0
1000000US500019601001012,5,5,0,0,0,0,0,0
1000000US500019601001013,174,169,0,0,5,0,0,0
1000000US500019601001014,2,0,0,0,0,0,0,2
1000000US500019601001015,0,0,0,0,0,0,0,0
1000000US500019601001016,0,0,0,0,0,0,0,0
1000000US500019601001017,3,3,0,0,0,0,0,0
1000000US500019601001018,0,0,0,0,0,0,0,0
1000000US500019601001019,6,5,0,0,1,0,0,0
1000000US500019601001020,0,0,0,0,0,0,0,0
1000000US500019601001021,6,6,0,0,0,0,0,0
1000000US500019601001022,4,2,0,0,2,0,0,0
1000000US500019601001023,0,0,0,0,0,0,0,0
1000000US500019601001024,0,0,0,0,0,0,0,0
1000000US500019601001025,74,72,0,0,0,0,0,2
1000000US500019601001026,0,0,0,0,0,0,0,0
1000000US500019601001027,6,6,0,0,0,0,0,0
1000000US500019601001028,3,3,0,0,0,0,0,0
1000000US500019601001029,5,5,0,0,0,0,0,0
1000000US500019601001030,20,20,0,0,0,0,0,0
1000000US500019601001031,0,0,0,0,0,0,0,0
1000000US500019601001032,120,119,0,0,1,0,0,0
1000000US500019601001033,8,7,0,0,0,0,0,1
1000000US500019601001034,0,0,0,0,0,0,0,0
1000000US500019601001035,5,5,0,0,0,0,0,0
1000000US500019601001036,0,0,0,0,0,0,0,0
1000000US500019601001037,3,3,0,0,0,0,0,0
1000000US500019601001038,2,2,0,0,0,0,0,0
1000000US500019601001039,24,24,0,0,0,0,0,0
1000000US500019601001040,44,44,0,0,0,0,0,0
1000000US500019601001041,17,17,0,0,0,0,0,0
1000000US500019601001042,5,5,0,0,0,0,0,0
1000000US500019601001043,6,5,0,0,1,0,0,0
1000000US500019601001044,0,0,0,0,0,0,0,0
1000000US500019601001045,24,24,0,0,0,0,0,0
1000000US500019601001046,31,31,0,0,0,0,0,0
1000000US500019601001047,42,42,0,0,0,0,0,0
1000000US500019601001048,13,13,0,0,0,0,0,0
1000000US500019601001049,0,0,0,0,0,0,0,0
1000000US500019601001050,0,0,0,0,0,0,0,0
1000000US500019601001051,12,9,0,0,0,0,0,3
1000000US500019601001052,9,9,0,0,0,0,0,0
1000000US500019601002000,14,14,0,0,0,0,0,0
1000000US500019601002001,0,0,0,0,0,0,0,0
1000000US500019601002002,23,23,0,0,0,0,0,0
1000000US500019601002003,22,21,0,1,0,0,0,0
1000000US500019601002004,22,22,0,0,0,0,0,0
1000000US500019601002005,0,0,0,0,0,0,0,0
1000000US500019601002006,36,36,0,0,0,0,0,0
1000000US500019601002007,186,176,2,0,0,0,0,8
1000000US500019601002008,39,37,0,0,1,0,1,0
1000000US500019601002009,2,0,0,0,0,0,0,2
1000000US500019601002010,66,65,0,0,1,0,0,0
1000000US500019601002011,1,1,0,0,0,0,0,0
1000000US500019601002012,16,16,0,0,0,0,0,0
1000000US500019601002013,69,69,0,0,0,0,0,0
1000000US500019601002014,0,0,0,0,0,0,0,0
1000000US500019601002015,0,0,0,0,0,0,0,0
1000000US500019601002016,2,1,0,0,0,0,1,0
1000000US500019601002017,0,0,0,0,0,0,0,0
1000000US500019601002018,0,0,0,0,0,0,0,0
1000000US500019601002019,0,0,0,0,0,0,0,0
1000000US500019601002020,32,32,0,0,0,0,0,0
1000000US500019601002021,16,16,0,0,0,0,0,0
1000000US500019601002022,0,0,0,0,0,0,0,0
1000000US500019601002023,36,34,0,0,2,0,0,0
1000000US500019601002024,20,20,0,0,0,0,0,0
1000000US500019601002025,0,0,0,0,0,0,0,0
